sirket,sektor,kaynak,kisa_not
Stripe,Fintech,Wikipedia: Financial technology companies,Odeme altyapisi
PayPal,Fintech,Wikipedia: Financial technology companies,Dijital odeme
Klarna,Fintech,Wikipedia: Financial technology companies,BNPL
Revolut,Fintech,Wikipedia: Financial technology companies,Neobank
N26,Fintech,Wikipedia: Financial technology companies,Neobank
Monzo,Fintech,Wikipedia: Financial technology companies,Neobank
SoFi,Fintech,Wikipedia: Financial technology companies,Kredi ve finans uygulamasi
Plaid,Fintech,Wikipedia: Financial technology companies,Open banking API
Affirm,Fintech,Wikipedia: Financial technology companies,Tuketici finansmani
Airwallex,Fintech,Wikipedia: Financial technology companies,Sinir otesi odeme
Brex,Fintech,Wikipedia: Financial technology companies,Kurumsal kart ve harcama
Chime,Fintech,Wikipedia: Financial technology companies,Dijital bankacilik
GoCardless,Fintech,Wikipedia: Financial technology companies,Tahsilat otomasyonu
Worldline,Fintech,Wikipedia: Financial technology companies,Odeme teknolojileri
Fiserv,Fintech,Wikipedia: Financial technology companies,Finansal yazilim
Adyen,Fintech,Wikipedia: Financial technology companies,Global odeme altyapisi
Wise,Fintech,Wikipedia: Financial technology companies,Para transferi
Block,Fintech,Wikipedia: Financial technology companies,POS ve odeme cozumleri
Marqeta,Fintech,Wikipedia: Financial technology companies,Kart ihrac API
Checkout.com,Fintech,Wikipedia: Financial technology companies,Odeme isleme
Ada Health,Saglik,Wikipedia: Health information technology companies,Dijital triyaj
Amwell,Saglik,Wikipedia: Health information technology companies,Tele-saglik
Babylon Health,Saglik,Wikipedia: Health information technology companies,Dijital saglik platformu
Carestream Health,Saglik,Wikipedia: Health information technology companies,Saglik goruntuleme
Change Healthcare,Saglik,Wikipedia: Health information technology companies,Saglik veri altyapisi
CoverMyMeds,Saglik,Wikipedia: Health information technology companies,E-recete surecleri
Datavant,Saglik,Wikipedia: Health information technology companies,Saglik veri baglama
DrChrono,Saglik,Wikipedia: Health information technology companies,EHR ve klinik uygulama
Medidata Solutions,Saglik,Wikipedia: Health information technology companies,Klinik arastirma yazilimi
WELL Health Technologies,Saglik,Wikipedia: Health information technology companies,Dijital klinik ag
