sirket,sektor,kaynak,kisa_not
"Stripe, Inc.",Fintech,Wikipedia: Category:Financial technology companies,Ödeme altyapısı
PayPal,Fintech,Wikipedia: Category:Financial technology companies,Dijital ödeme
Klarna,Fintech,Wikipedia: Category:Financial technology companies,BNPL
Revolut,Fintech,Wikipedia: Category:Financial technology companies,Neobank
N26,Fintech,Wikipedia: Category:Financial technology companies,Neobank
Monzo,Fintech,Wikipedia: Category:Financial technology companies,Neobank
SoFi,Fintech,Wikipedia: Category:Financial technology companies,Kredi + finans uygulaması
Plaid Inc.,Fintech,Wikipedia: Category:Financial technology companies,Open banking
Affirm Holdings,Fintech,Wikipedia: Category:Financial technology companies,Tüketici finansmanı
Airwallex,Fintech,Wikipedia: Category:Financial technology companies,Sınır ötesi ödeme
Brex,Fintech,Wikipedia: Category:Financial technology companies,Kurumsal kart
Chime,Fintech,Wikipedia: Category:Financial technology companies,Dijital bankacılık
GoCardless,Fintech,Wikipedia: Category:Financial technology companies,Tahsilat otomasyonu
Worldline SA,Fintech,Wikipedia: Category:Financial technology companies,Ödeme teknolojileri
Fiserv,Fintech,Wikipedia: Category:Financial technology companies,Finansal yazılım
Ada Health,Sağlık,Wikipedia: Category:Health information technology companies,Dijital triyaj
Amwell,Sağlık,Wikipedia: Category:Health information technology companies,Tele-sağlık
Babylon Health,Sağlık,Wikipedia: Category:Health information technology companies,Dijital sağlık platformu
Carestream Health,Sağlık,Wikipedia: Category:Health information technology companies,Sağlık görüntüleme
Change Healthcare,Sağlık,Wikipedia: Category:Health information technology companies,Sağlık veri altyapısı
CoverMyMeds,Sağlık,Wikipedia: Category:Health information technology companies,E-reçete süreçleri
Datavant,Sağlık,Wikipedia: Category:Health information technology companies,Sağlık veri bağlama
DrChrono,Sağlık,Wikipedia: Category:Health information technology companies,EHR + uygulama
Epocrates,Sağlık,Wikipedia: Category:Health information technology companies,Klinik karar desteği
Greenway Health,Sağlık,Wikipedia: Category:Health information technology companies,Klinik yazılım
Healthera,Sağlık,Wikipedia: Category:Health information technology companies,Eczane teknolojileri
MEDHOST,Sağlık,Wikipedia: Category:Health information technology companies,Hastane bilgi sistemleri
Medidata Solutions,Sağlık,Wikipedia: Category:Health information technology companies,Klinik araştırma yazılımı
Meditech,Sağlık,Wikipedia: Category:Health information technology companies,EHR üreticisi
WELL Health Technologies,Sağlık,Wikipedia: Category:Health information technology companies,Dijital klinik ağ
